x,y
1056684,1792156
1055659,1791902
1054664,1792308
1107558,1839529
1110611,1840279
1112400,1840564
1109257,1840716
1111589,1841164
1110173,1841961
1104176,1843425
1109220,1841678
1107329,1841724
1109358,1841317
1108792,1841345
1109732,1841550
1108394,1841619
1076997,1788279
1083651,1789217
1083057,1789913
1077183,1789966
1075518,1791316
1077317,1791730
1077052,1791782
1075545,1792936
1082532,1793705
1074151,1793723
1074918,1793489
1077231,1792421
1075303,1792460
1082653,1790374
1099144,1868355
1099795,1869028
1100600,1869568
1099953,1869508
1092053,1874226
1100397,1870302
1098564,1869935
1100117,1870069
1099685,1870352
1100843,1870352
1123895,1771424
1125300,1772042
1134060,1772055
1129205,1774665
1123566,1771740
1129038,1775451
1128348,1778560
1118988,1778420
1142920,1778859
1129282,1775028
1064942,1812295
1061970,1842874
1058378,1825354
1061020,1843183
1059555,1825177
1058366,1824741
1059292,1824351
1062527,1844340
1061853,1843433
1114525,1758435
1112745,1759226
1111839,1758852
1112233,1759320
1111697,1759610
1110704,1760488
1111483,1760427
1112622,1760465
1112035,1760441
1114420,1762590
1113880,1761284
1119525,1768212
1119424,1768977
1119028,1765042
1118315,1765092
1117765,1765197
1113358,1760884
1096557,1810868
1107135,1818263
1106362,1818654
1144287,1853196
1144167,1852821
1168408,1809637
1168560,1818726
1169759,1839974
1168660,1819550
1113277,1739528
1112735,1739223
1110472,1740142
1111539,1740035
1113207,1740071
1070120,1750292
1069764,1748440
1068318,1744593
1070899,1769370
1071434,1769312
1094852,1775361
1081000,1776450
1080252,1778875
1081040,1778111
1081021,1777143
1076354,1786253
1080886,1787752
1081983,1787427
1076167,1783528
1085269,1849424
1086165,1851440
1085399,1850803
1101702,1697077
1102691,1696810
1104732,1694673
1110577,1689432
1109445,1690001
1108708,1691922
1107005,1691682
1109721,1690413
1108078,1692601
1107813,1692531
1107284,1692516
1106605,1691966
1096149,1686882
1096732,1688604
1096524,1687728
1096343,1687787
1098866,1691126
1097870,1691237
1097578,1690250
1097517,1689988
1097658,1690060
1098724,1693244
1098512,1694061
1109958,1683965
1108843,1685578
1109112,1685554
1105069,1686930
1106541,1684727
1106172,1684742
1107051,1684785
1109818,1684813
1055362,1685054
1056121,1688848
1056180,1688127
1054772,1687276
1051853,1688865
1052557,1689099
1053289,1688940
1084005,1648815
1085995,1651789
1083765,1653109
1084599,1652113
1084920,1651477
1084272,1650271
1052703,1659937
1052856,1675427
1052285,1674364
1052625,1660620
1053530,1660501
1053918,1678029
1053263,1676804
1053450,1676398
1053153,1676268
1118080,1688956
1126531,1694148
1124830,1693781
1124313,1693850
1125940,1693224
1125141,1693148
1123762,1694606
1127722,1695168
1124807,1694625
1124451,1694654
1109962,1709480
1114049,1719431
1115340,1720460
1114551,1720045
1113688,1721434
1114232,1721528
1112608,1723470
1112948,1723653
1112434,1723725
1112274,1723897
1113921,1721935
1102722,1655285
1103312,1655953
1102143,1655722
1102766,1655639
1102747,1655811
1136990,1703774
1138916,1704836
1137517,1704292
1150302,1710806
1151201,1714072
1140178,1707219
1082385,1698160
1094677,1699665
1092744,1705875
1081587,1699959
1083534,1698800
1082133,1698712
1089150,1711007
1089584,1711236
1104295,1715086
1079885,1734255
